team,name,pos,est_return_date,status,comment,scraped_date
ARI,Zay Jones,WR,Nov 9,Questionable,"Nov 5: Jones (knee) practiced in a limited capacity Wednesday, Zach Gershman of the Cardinals' official site reports.",2025-11-05 19:42:49
ARI,Trey Benson,RB,Nov 9,Injured Reserve,"Nov 5: Cardinals coach Jonathan Gannon said Wednesday that Benson (knee) is ""doing well"" but isn't ready to practice, Theo Mackie of The Arizona Republic reports.",2025-11-05 19:42:49
ARI,Kyler Murray,QB,Dec 7,Injured Reserve,"Nov 4: Arizona head coach Jonathan Gannon announced that Jacoby Brissett will start Sunday's game in Seattle instead of Murray (foot), Darren Urban of the Cardinals' official site reports.",2025-11-05 19:42:49
ARI,Mack Wilson Sr.,LB,Nov 9,Questionable,Nov 3: Wilson (ribs) is questionable to return to Monday's game against the Cowboys.,2025-11-05 19:42:49
ARI,Max Melton,CB,Nov 9,Questionable,Nov 3: Melton (concussion) has been ruled out for the remainder of Monday's matchup against Dallas.,2025-11-05 19:42:49
ARI,BJ Ojulari,LB,Nov 9,Out,Nov 1: Ojulari (knee) has been ruled out ahead of Monday's game against the Cowboys.,2025-11-05 19:42:49
ARI,Travis Vokolek,TE,Feb 9,Injured Reserve,"Oct 15: The Cardinals placed Vokolek on injured reserve Wednesday due to a season-ending neck injury, Darren Urban of the team's official site reports.",2025-11-05 19:42:49
ARI,Blake Gillikin,P,Nov 16,Injured Reserve,"Oct 11: The Cardinals placed Gillikin on injured reserve Saturday due to a back injury, Zach Gershman of the team's official site reports.",2025-11-05 19:42:49
ARI,Tip Reiman,TE,Feb 9,Injured Reserve,Oct 8: Reiman (ankle) was placed on injured reserve Wednesday.,2025-11-05 19:42:49
ARI,James Conner,RB,Feb 9,Injured Reserve,Sep 23: The Cardinals placed Conner (foot) on injured reserve Tuesday.,2025-11-05 19:42:49
ARI,L.J. Collier,DE,Nov 9,Injured Reserve,Sep 17: Collier (knee) was placed on injured reserve Wednesday.,2025-11-05 19:42:49
ARI,Joey Blount,S,Feb 9,Injured Reserve,"Sep 10: Head coach Jonathan Gannon told reporters Wednesday that Blount (neck/concussion) will be placed on injured reserve and miss the remainder of the season, Josh Weinfuss of ESPN.com reports.",2025-11-05 19:42:49
ARI,Justin Jones,DT,Nov 9,Injured Reserve,"Aug 28: The Cardinals placed Jones on injured reserve Thursday due to a knee injury, Darren Urban of the team's official site reports.",2025-11-05 19:42:49
ARI,Christian Jones,OT,Nov 9,Injured Reserve,Aug 27: Jones (knee) was placed on injured reserve Tuesday.,2025-11-05 19:42:49
ARI,Hayden Conner,G,Nov 9,Injured Reserve,Aug 27: Conner (knee) was placed on injured reserve Tuesday.,2025-11-05 19:42:49
ARI,J.J. Russell,LB,Feb 9,Injured Reserve,"Aug 27: Russell was placed on injured reserve by the Cardinals on Tuesday, Darren Urban of the team's official website reports.",2025-11-05 19:42:49
ARI,Valentin Senn,OT,Feb 9,Injured Reserve,"Aug 3: Senn (undisclosed) was placed on injured reserve by the Cardinals on Sunday, Aaron Wilson of KPRC 2 Houston reports.",2025-11-05 19:42:49
ARI,Starling Thomas V,CB,Feb 9,Injured Reserve,Jul 27: The Cardinals placed Thomas (knee) on injured reserve Sunday.,2025-11-05 19:42:49
ARI,Sean Murphy-Bunting,CB,Feb 9,Out,"May 28: Coach Jonathan Gannon said Wednesday that Murphy-Bunting underwent surgery on his knee to address the injury that landed him on Arizona's NFI list, Josh Weinfuss of ESPN.com reports.",2025-11-05 19:42:49
ATL,Tyrone Wheatley Jr.,OT,Feb 9,Injured Reserve,,2025-11-05 19:42:49
ATL,Mike Hughes,CB,Nov 9,Questionable,,2025-11-05 19:42:49
ATL,JD Bertrand,LB,Nov 9,Questionable,,2025-11-05 19:42:49
ATL,Chris Lindstrom,G,Nov 9,Questionable,"Nov 5: Head coach Raheem Morris told reporters Wednesday that Lindstrom (foot) is considered day-to-day, Tori McElhaney of the Falcons' official site reports.",2025-11-05 19:42:49
ATL,Matthew Bergeron,G,Nov 9,Doubtful,"Nov 5: Head coach Raheem Morris told reporters Wednesday that Bergeron (ankle) is considered week-to-week and likely won't play in the Week 10 matchup against the Colts, Tori McElhaney of the Falcons' official site reports.",2025-11-05 19:42:49
ATL,LaCale London,DE,Nov 9,Questionable,"Nov 4: London recorded five tackles (four solo), including 2.0 sacks and two tackles for loss in Sunday's 24-23 loss to the Patriots.",2025-11-05 19:42:49
ATL,Leonard Floyd,DE,Nov 9,Questionable,"Nov 2: Floyd (hamstring) is questionable to return to Sunday's game against the Patriots, Tori McElhaney of the Falcons' official site reports.",2025-11-05 19:42:49
ATL,Storm Norton,OT,Nov 9,Injured Reserve,"Oct 31: Norton (foot) has been ruled out for Sunday's Week 9 matchup versus the Patriots, Marc Raimondi of ESPN.com reports.",2025-11-05 19:42:49
ATL,Divine Deablo,LB,Nov 23,Injured Reserve,"Oct 25: The Falcons placed Deablo (forearm) on injured reserve Saturday, Terrin Waack of the team's official site reports.",2025-11-05 19:42:49
ATL,Clark Phillips III,CB,Nov 16,Injured Reserve,"Oct 18: The Falcons placed Phillips (triceps/illness) on injured reserve Saturday, Terrin Waack of the team's official site reports.",2025-11-05 19:42:49
ATL,Bralen Trice,LB,Nov 9,Injured Reserve,"Aug 28: The Falcons placed Trice (knee) on injured reserve Thursday, Tori McElhaney of the team's official site reports.",2025-11-05 19:42:49
