team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week,ratio_pass_cmp,ratio_pass_att,ratio_pass_yd,ratio_pass_td,ratio_pass_int,ratio_sacks,ratio_rush_att,ratio_rush_yd,ratio_rush_td,ratio_targets,ratio_rec,ratio_rec_yd,ratio_rec_td,ratio_off_fum,ratio_def_pass_cmp,ratio_def_pass_att,ratio_def_pass_yd,ratio_def_pass_td,ratio_def_int,ratio_def_sacks,ratio_def_rush_att,ratio_def_rush_yd,ratio_def_rush_td,ratio_def_targets,ratio_def_rec,ratio_def_rec_yd,ratio_def_rec_td,ratio_def_fum,schedstr_ratio_pass_cmp,schedstr_ratio_pass_att,schedstr_ratio_pass_yd,schedstr_ratio_pass_td,schedstr_ratio_pass_int,schedstr_ratio_sacks,schedstr_ratio_rush_att,schedstr_ratio_rush_yd,schedstr_ratio_rush_td,schedstr_ratio_targets,schedstr_ratio_rec,schedstr_ratio_rec_yd,schedstr_ratio_rec_td,schedstr_ratio_off_fum,schedstr_ratio_def_pass_cmp,schedstr_ratio_def_pass_att,schedstr_ratio_def_pass_yd,schedstr_ratio_def_pass_td,schedstr_ratio_def_int,schedstr_ratio_def_sacks,schedstr_ratio_def_rush_att,schedstr_ratio_def_rush_yd,schedstr_ratio_def_rush_td,schedstr_ratio_def_targets,schedstr_ratio_def_rec,schedstr_ratio_def_rec_yd,schedstr_ratio_def_rec_td,schedstr_ratio_def_fum
ATL,0.6842105263157895,2.111111111111111,5.315789473684211,0.0,0.0,0.05555555555555555,1.5432098765432098,45.9,0.288,2.763157894736842,14.476190476190476,23.157894736842106,0.10526315789473684,0.07601351351351351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Tampa Bay Buccaneers', 'Minnesota Vikings', 'Carolina Panthers', 'Washington Commanders', 'Buffalo Bills', 'San Francisco 49ers', 'Miami Dolphins', 'New England Patriots', 'Washington Commanders']",9,CAR,HOME,11.0,0.05777991777473241,0.11733827389223406,0.7487166443749986,0.0,0.0,0.045879654137991874,0.1873468799538838,10.113079112513288,7.37211155378486,34.79298009492101,233.10570171843835,45.8017498117784,34.757894736842104,6.3216360415293344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057978192745561756,0.0,1.0504774660936735,1.1480113116218034,0.7480306856676123,0.0,0.0,1.09695106235011,0.9464614009775788,1.7484327498729846,1.7407405193935017,2.0317230328766893,1.5241063485635251,1.1926340711365888
Arizona Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6259220231822972,0.0,6.652265542676503,0.030558482613277135,0.017913593256059013,0.0,0.0,4.408108108108108,0.05675675675675675,0.07586933614330875,0.06533192834562697,0.3719704952581665,0.0,0.011372251705837756,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05285759520188295,0.0,0.9369562055195985,0.5878580750560997,0.8653714662957116,0.0,0.0,0.9712319397343918,1.4528372994508452,0.9553273474805953,1.0520202139281196,0.73568429923268,0.0,0.9457691525361047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6238390092879256,0.0,6.777089783281734,0.07430340557275542,0.021671826625386997,0.0,0.0,4.521739130434782,0.02557544757033248,0.08049535603715172,0.06811145510835914,0.4551083591331269,0.0046439628482972135,0.017357762777242044,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052681689735785416,0.0,0.954537410912564,1.4293856642978249,1.0469245402663288,0.0,0.0,0.9962680948199131,0.654670321272455,1.0135770111685678,1.0967780898028205,0.9001146019159662,1.53343653250774,1.4435519909683188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,0.6296296296296297,3.0,5.611111111111111,0.0,0.07407407407407407,0.05555555555555555,1.5802469135802468,46.6875,0.45703125,0.3333333333333333,19.5,1.9259259259259258,0.0,0.07277628032345014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Buffalo Bills', 'Cleveland Browns', 'Detroit Lions', 'Kansas City Chiefs', 'Houston Texans', 'Los Angeles Rams', 'Chicago Bears', 'Miami Dolphins', 'Houston Texans']",9,CLE,AWAY,11.0,0.05317069356478225,0.1667438628994905,0.7903120135069429,0.0,3.5783770000637465,0.045879654137991874,0.191843205072777,10.286587822776998,11.69890749501992,4.19724839240317,314.0025817555938,3.809101752023321,0.0,6.05241272763132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054636976818025124,0.0,0.9592673852935028,0.8725930256883214,1.3062821287489017,0.0,0.0,1.0336913282844342,1.1188078069212413,1.6028019168512495,1.5746415021842637,1.3654706294305101,0.12373992879895075,1.1786768484125592
BUF,0.692,13.88888888888889,8.06,0.06,0.016,0.9444444444444444,1.4074074074074074,48.03947368421053,0.6315789473684211,0.06,108.33333333333334,0.4,0.0,0.018159806295399518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Baltimore Ravens', 'New York Jets', 'Miami Dolphins', 'New Orleans Saints', 'New England Patriots', 'Atlanta Falcons', 'Carolina Panthers', 'Kansas City Chiefs', 'New York Jets']",9,TAM,HOME,11.0,0.05843771991555243,0.771962328238382,1.135232345738488,1.1542289239204933,0.7729294320137693,0.7799541203458619,0.17086035451794204,10.584466185009179,16.166911302159786,0.7555047106325706,1744.4587875310767,0.791121133112536,0.0,1.5102536467253294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05655895953770546,0.0,1.0087074087309125,1.1224322102790925,0.6217457829021329,0.0,0.0,1.0575834042347354,1.0619777431093875,0.9437505638193657,1.0001706461973812,0.923660990418489,0.6491442304450719,0.9933210240938628
Baltimore Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369785794813979,0.0,6.5062006764374285,0.0326944757609921,0.013528748590755355,0.0,0.0,3.974431818181819,0.06534090909090909,0.0834272829763247,0.06764374295377677,0.6865839909808342,0.0,0.011299435028248586,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05379129453748611,0.0,0.9163833071659306,0.6289484929292429,0.6535479977568514,0.0,0.0,0.8756806841952675,1.6725710793190873,1.0504950880648298,1.0892466629280855,1.3579277623042125,0.0,0.9397133801846492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885813148788926,0.0,6.280276816608996,0.04498269896193772,0.02422145328719723,0.0,0.0,7.17037037037037,0.05925925925925926,0.33910034602076117,0.2664359861591695,2.2664359861591694,0.0,0.020172910662824207,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581490202571901,0.0,0.8845624543928134,0.865338870297948,1.1700921332388379,0.0,0.0,1.579837098509298,1.5168953814372141,4.269865146596996,4.290337821875738,4.482563513743177,0.0,1.677672734940606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,0.5966666666666667,15.0,5.986666666666666,0.05,0.02,1.1,0.8150000000000001,54.171779141104295,0.3067484662576687,0.06666666666666667,112.5,0.44,0.0033333333333333335,0.03161555485298767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Jacksonville Jaguars', 'Arizona Cardinals', 'Atlanta Falcons', 'New England Patriots', 'Miami Dolphins', 'Dallas Cowboys', 'New York Jets', 'Buffalo Bills', 'Green Bay Packers', 'Tampa Bay Buccaneers']",10,ATL,AWAY,11.0,0.050387051372273055,0.8337193144974525,0.8432081443119621,0.9618574366004111,0.9661617900172116,0.9084171519322393,0.09894163424124512,11.935587976461546,7.852027472930365,0.839449678480634,1811.5533562822718,0.8702332464237895,1.1006666666666667,2.6292960526823097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05593762796786946,0.0,0.9885189404044079,1.1255972713539482,0.8592712595055036,0.0,0.0,1.0199976370119053,0.9259368207101085,1.401664893608991,1.464467721254462,1.52916317114453,0.6579727266186366,1.114047828749062
CHI,0.6081504702194357,17.72222222222222,7.266457680250784,0.047021943573667714,0.01567398119122257,1.2777777777777777,1.0,43.888888888888886,0.3333333333333333,0.10344827586206896,125.66666666666667,0.8275862068965517,0.009404388714733543,0.017804154302670624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Minnesota Vikings', 'Detroit Lions', 'Dallas Cowboys', 'Las Vegas Raiders', 'Washington Commanders', 'New Orleans Saints', 'Baltimore Ravens', 'Cincinnati Bengals', 'Seattle Seahawks']",9,MIN,AWAY,11.0,0.051356830701148694,0.9850239308321753,1.0234637465956016,0.904568122194744,0.7571800862203851,1.055232045173813,0.1214007782101167,9.66997397589627,8.53253652058433,1.302594328676846,2023.5721935360489,1.636802344370764,3.1053291536050156,1.4806759788666135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05661778855377851,0.0,1.0451303272363257,1.101636490817006,1.1553514890332905,0.0,0.0,0.9782353833807602,0.9329771777953919,1.1734006274355975,1.199227930112384,1.2397680885146243,1.006294294561775,1.201054570842905
CIN,0.6464646464646465,14.85,6.771043771043771,0.05723905723905724,0.03367003367003367,0.8,0.93,35.053763440860216,0.26881720430107525,0.18855218855218855,114.02678571428571,0.8653198653198653,0.003367003367003367,0.012674271229404309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Cleveland Browns', 'Jacksonville Jaguars', 'Minnesota Vikings', 'Denver Broncos', 'Detroit Lions', 'Green Bay Packers', 'Pittsburgh Steelers', 'New York Jets', 'Chicago Bears', 'Denver Broncos']",10,PIT,AWAY,11.0,0.05459236986330584,0.8253821213524779,0.9536858440818855,1.101116257387676,1.6265350000289758,0.6606670195870831,0.11290272373540854,7.723343853349573,6.881077839180911,2.3742011108543184,1836.1387232603884,1.711432080891597,1.1117845117845118,1.0540511298649107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05466546426547101,0.0,1.022997153736385,1.0427366927500414,1.3036353329422106,0.0,0.0,0.8719237964594102,0.8321209939187593,1.0728579787807364,1.0217796342674403,0.8806348343339516,0.4693974466239038,0.9839919598239792
