player,team,pos,year,active
Clayton Tune,ARI,QB,2024,True
DeeJay Dallas,ARI,RB,2024,True
Elijah Higgins,ARI,TE,2024,True
Emari Demercado,ARI,RB,2024,True
Greg Dortch,ARI,WR,2024,True
James Conner,ARI,RB,2024,True
Kyler Murray,ARI,QB,2024,True
Marvin Harrison Jr.,ARI,WR,2024,True
Michael Carter,ARI,RB,2024,True
Michael Wilson,ARI,WR,2024,True
Tip Reiman,ARI,TE,2024,True
Tony Jones,ARI,RB,2024,True
Trey Benson,ARI,RB,2024,True
Trey McBride,ARI,TE,2024,True
Xavier Weaver,ARI,WR,2024,True
Zay Jones,ARI,WR,2024,True
Bijan Robinson,ATL,RB,2024,True
Casey Washington,ATL,WR,2024,True
Charlie Woerner,ATL,TE,2024,True
Chris Blair,ATL,WR,2024,True
Darnell Mooney,ATL,WR,2024,True
Drake London,ATL,WR,2024,True
Jase McClellan,ATL,RB,2024,True
KhaDarel Hodge,ATL,WR,2024,True
Kirk Cousins,ATL,QB,2024,True
Kyle Pitts,ATL,TE,2024,True
Michael Penix,ATL,QB,2024,True
Ray-Ray McCloud,ATL,WR,2024,True
Ross Dwelley,ATL,TE,2024,True
Tyler Allgeier,ATL,RB,2024,True
Anthony Miller,BAL,WR,2024,True
Charlie Kolar,BAL,TE,2024,True
Derrick Henry,BAL,RB,2024,True
Devontez Walker,BAL,WR,2024,True
Diontae Johnson,BAL,WR,2024,True
Isaiah Likely,BAL,TE,2024,True
Josh Johnson,BAL,QB,2024,True
Justice Hill,BAL,RB,2024,True
Keaton Mitchell,BAL,RB,2024,True
Lamar Jackson,BAL,QB,2024,True
Mark Andrews,BAL,TE,2024,True
Nelson Agholor,BAL,WR,2024,True
Patrick Ricard,BAL,FB,2024,True
Rasheen Ali,BAL,RB,2024,True
Rashod Bateman,BAL,WR,2024,True
Tylan Wallace,BAL,WR,2024,True
Zay Flowers,BAL,WR,2024,True
Amari Cooper,BUF,WR,2024,True
Curtis Samuel,BUF,WR,2024,True
Dalton Kincaid,BUF,TE,2024,True
Dawson Knox,BUF,TE,2024,True
James Cook,BUF,RB,2024,True
Josh Allen,BUF,QB,2024,True
Keon Coleman,BUF,WR,2024,True
Khalil Shakir,BUF,WR,2024,True
Mack Hollins,BUF,WR,2024,True
Marquez Valdes-Scantling,BUF,WR,2024,True
Mike White,BUF,QB,2024,True
Mitchell Trubisky,BUF,QB,2024,True
Quintin Morris,BUF,TE,2024,True
Ray Davis,BUF,RB,2024,True
Reggie Gilliam,BUF,FB,2024,True
Ty Johnson,BUF,RB,2024,True
Tyrell Shavers,BUF,WR,2024,True
Zach Davidson,BUF,TE,2024,True
Adam Thielen,CAR,WR,2024,True
Andy Dalton,CAR,QB,2024,True
Bryce Young,CAR,QB,2024,True
Chuba Hubbard,CAR,RB,2024,True
Dan Chisena,CAR,WR,2024,True
David Moore,CAR,WR,2024,True
Deven Thompkins,CAR,WR,2024,True
Feleipe Franks,CAR,TE,2024,True
Ian Thomas,CAR,TE,2024,True
Ja'Tavion Sanders,CAR,TE,2024,True
Jalen Coker,CAR,WR,2024,True
Johnny Hekker,CAR,P,2024,True
Jonathan Mingo,CAR,WR,2024,True
Jonathon Brooks,CAR,RB,2024,True
Jordan Matthews,CAR,TE,2024,True
Mike Boone,CAR,RB,2024,True
Miles Sanders,CAR,RB,2024,True
Raheem Blackshear,CAR,RB,2024,True
Sam Franklin,CAR,SS,2024,True
Stephen Sullivan,CAR,TE,2024,True
Tommy Tremble,CAR,TE,2024,True
Velus Jones Jr.,CAR,RB,2024,True
Xavier Legette,CAR,WR,2024,True
Caleb Williams,CHI,QB,2024,True
Cole Kmet,CHI,TE,2024,True
Collin Johnson,CHI,WR,2024,True
D'Andre Swift,CHI,RB,2024,True
D.J. Moore,CHI,WR,2024,True
Darrynton Evans,CHI,RB,2024,True
DeAndre Carter,CHI,WR,2024,True
Gerald Everett,CHI,TE,2024,True
Keenan Allen,CHI,WR,2024,True
Khalil Herbert,CHI,RB,2024,True
Marcedes Lewis,CHI,TE,2024,True
Rome Odunze,CHI,WR,2024,True
Roschon Johnson,CHI,RB,2024,True
Travis Homer,CHI,RB,2024,True
Tyler Scott,CHI,WR,2024,True
Tyson Bagent,CHI,QB,2024,True
Andrei Iosivas,CIN,WR,2024,True
Cam Grandy,CIN,TE,2024,True
Charlie Jones,CIN,WR,2024,True
Chase Brown,CIN,RB,2024,True
Drew Sample,CIN,TE,2024,True
Erick All,CIN,TE,2024,True
Ja'Marr Chase,CIN,WR,2024,True
Jake Browning,CIN,QB,2024,True
Jermaine Burton,CIN,WR,2024,True
Joe Burrow,CIN,QB,2024,True
Kendric Pryor,CIN,WR,2024,True
Mike Gesicki,CIN,TE,2024,True
Sam Hubbard,CIN,DE,2024,True
Tanner Hudson,CIN,TE,2024,True
Tee Higgins,CIN,WR,2024,True
Trenton Irwin,CIN,WR,2024,True
Zack Moss,CIN,RB,2024,True
Bailey Zappe,CLE,QB,2024,True
Blake Whiteheart,CLE,TE,2024,True
Brenden Bates,CLE,TE,2024,True
Cedric Tillman,CLE,WR,2024,True
D'Onta Foreman,CLE,RB,2024,True
David Bell,CLE,WR,2024,True
David Njoku,CLE,TE,2024,True
Deshaun Watson,CLE,QB,2024,True
Dorian Thompson-Robinson,CLE,QB,2024,True
Elijah Moore,CLE,WR,2024,True
Geoff Swaim,CLE,TE,2024,True
Jacob Kibodi,CLE,RB,2024,True
Jaelon Darden,CLE,WR,2024,True
Jamari Thrash,CLE,WR,2024,True
Jameis Winston,CLE,QB,2024,True
James Proche,CLE,WR,2024,True
Jerome Ford,CLE,RB,2024,True
Jerry Jeudy,CLE,WR,2024,True
Jordan Akins,CLE,TE,2024,True
Kadarius Toney,CLE,WR,2024,True
Michael Woods II,CLE,WR,2024,True
Nick Chubb,CLE,RB,2024,True
Pierre Strong,CLE,RB,2024,True
Brandin Cooks,DAL,WR,2024,True
Brevyn Spann-Ford,DAL,TE,2024,True
Bryan Anger,DAL,P,2024,True
C.J. Goodwin,DAL,CB,2024,True
CeeDee Lamb,DAL,WR,2024,True
Cooper Rush,DAL,QB,2024,True
Dak Prescott,DAL,QB,2024,True
Dalvin Cook,DAL,RB,2024,True
Deuce Vaughn,DAL,RB,2024,True
Ezekiel Elliott,DAL,RB,2024,True
Hunter Luepke,DAL,FB,2024,True
Jake Ferguson,DAL,TE,2024,True
Jalen Brooks,DAL,WR,2024,True
Jalen Tolbert,DAL,WR,2024,True
Juanyeh Thomas,DAL,FS,2024,True
KaVontae Turpin,DAL,WR,2024,True
Luke Schoonmaker,DAL,TE,2024,True
Rico Dowdle,DAL,RB,2024,True
Ryan Flournoy,DAL,WR,2024,True
Trey Lance,DAL,QB,2024,True
Tyler Smith,DAL,G,2024,True
Adam Trautman,DEN,TE,2024,True
Audric Estime,DEN,RB,2024,True
Blake Watson,DEN,RB,2024,True
Bo Nix,DEN,QB,2024,True
Courtland Sutton,DEN,WR,2024,True
Devaughn Vele,DEN,WR,2024,True
Greg Dulcich,DEN,TE,2024,True
Jaleel McLaughlin,DEN,RB,2024,True
Jarrett Stidham,DEN,QB,2024,True
Javonte Williams,DEN,RB,2024,True
Josh Reynolds,DEN,WR,2024,True
Lil'Jordan Humphrey,DEN,WR,2024,True
Lucas Krull,DEN,TE,2024,True
Marvin Mims,DEN,WR,2024,True
Michael Burton,DEN,FB,2024,True
Nate Adkins,DEN,TE,2024,True
Riley Dixon,DEN,P,2024,True
Troy Franklin,DEN,WR,2024,True
Tyler Badie,DEN,RB,2024,True
Allen Robinson,DET,WR,2024,True
Amon-Ra St. Brown,DET,WR,2024,True
Brock Wright,DET,TE,2024,True
Craig Reynolds,DET,RB,2024,True
Dan Skipper,DET,T,2024,True
David Montgomery,DET,RB,2024,True
Hendon Hooker,DET,QB,2024,True
Isaiah Williams,DET,WR,2024,True
Jack Fox,DET,P,2024,True
Jahmyr Gibbs,DET,RB,2024,True
Jalen Reeves-Maybin,DET,LB,2024,True
Jameson Williams,DET,WR,2024,True
Jared Goff,DET,QB,2024,True
Jermar Jefferson,DET,RB,2024,True
Kalif Raymond,DET,WR,2024,True
Penei Sewell,DET,T,2024,True
Sam LaPorta,DET,TE,2024,True
Shane Zylstra,DET,TE,2024,True
Sione Vaki,DET,RB,2024,True
Taylor Decker,DET,T,2024,True
Tim Patrick,DET,WR,2024,True
Tom Kennedy,DET,WR,2024,True
Andrew Beck,GNB,FB,2024,True
Ben Sims,GNB,TE,2024,True
Bo Melton,GNB,WR,2024,True
Chris Brooks,GNB,RB,2024,True
Christian Watson,GNB,WR,2024,True
Dontayvion Wicks,GNB,WR,2024,True
Emanuel Wilson,GNB,RB,2024,True
Jayden Reed,GNB,WR,2024,True
John FitzPatrick,GNB,TE,2024,True
Jordan Love,GNB,QB,2024,True
Josh Jacobs,GNB,RB,2024,True
Luke Musgrave,GNB,TE,2024,True
Malik Heath,GNB,WR,2024,True
Malik Willis,GNB,QB,2024,True
MarShawn Lloyd,GNB,RB,2024,True
Romeo Doubs,GNB,WR,2024,True
Tucker Kraft,GNB,TE,2024,True
Brevin Jordan,HOU,TE,2024,True
British Brooks,HOU,RB,2024,True
C.J. Stroud,HOU,QB,2024,True
Cade Stover,HOU,TE,2024,True
Cam Akers,HOU,RB,2024,True
