week,home_team,away_team,home_away,year
1,CIN,NWE,away,2024
1,DET,LAR,away,2024
1,NYG,MIN,away,2024
1,TAM,WAS,away,2024
1,MIA,JAX,away,2024
1,BUF,ARI,away,2024
1,PHI,GNB,away,2024
1,CLE,DAL,away,2024
1,SEA,DEN,away,2024
1,SFO,NYJ,away,2024
1,CHI,TEN,away,2024
1,IND,HOU,away,2024
1,NOR,CAR,away,2024
1,KAN,BAL,away,2024
1,ATL,PIT,away,2024
1,LAC,LVR,away,2024
2,JAX,CLE,away,2024
2,TEN,NYJ,away,2024
2,GNB,IND,away,2024
2,NWE,SEA,away,2024
2,BAL,LVR,away,2024
2,DAL,NOR,away,2024
2,PHI,ATL,away,2024
2,DEN,PIT,away,2024
2,CAR,LAC,away,2024
2,WAS,NYG,away,2024
2,KAN,CIN,away,2024
2,HOU,CHI,away,2024
2,MIN,SFO,away,2024
2,ARI,LAR,away,2024
2,MIA,BUF,away,2024
2,DET,TAM,away,2024
3,TEN,GNB,away,2024
3,MIN,HOU,away,2024
3,PIT,LAC,away,2024
3,LVR,CAR,away,2024
3,SEA,MIA,away,2024
3,TAM,DEN,away,2024
3,IND,CHI,away,2024
3,NYJ,NWE,away,2024
3,BUF,JAX,away,2024
3,ARI,DET,away,2024
3,ATL,KAN,away,2024
3,LAR,SFO,away,2024
3,NOR,PHI,away,2024
3,CIN,WAS,away,2024
3,CLE,NYG,away,2024
3,DAL,BAL,away,2024
4,ARI,WAS,away,2024
4,HOU,JAX,away,2024
4,NYG,DAL,away,2024
4,CHI,LAR,away,2024
4,LVR,CLE,away,2024
4,TAM,PHI,away,2024
4,GNB,MIN,away,2024
4,SFO,NWE,away,2024
4,CAR,CIN,away,2024
4,ATL,NOR,away,2024
4,MIA,TEN,away,2024
4,BAL,BUF,away,2024
4,DET,SEA,away,2024
4,LAC,KAN,away,2024
4,IND,PIT,away,2024
4,NYJ,DEN,away,2024
5,SEA,NYG,away,2024
5,WAS,CLE,away,2024
5,ATL,TAM,away,2024
5,HOU,BUF,away,2024
5,KAN,NOR,away,2024
5,SFO,ARI,away,2024
5,DEN,LVR,away,2024
5,JAX,IND,away,2024
5,CHI,CAR,away,2024
5,MIN,NYJ,away,2024
5,NWE,MIA,away,2024
5,PIT,DAL,away,2024
5,CIN,BAL,away,2024
5,LAR,GNB,away,2024
6,SEA,SFO,away,2024
6,BAL,WAS,away,2024
6,DAL,DET,away,2024
6,LVR,PIT,away,2024
6,CAR,ATL,away,2024
6,DEN,LAC,away,2024
6,TEN,IND,away,2024
6,PHI,CLE,away,2024
6,GNB,ARI,away,2024
6,CHI,JAX,away,2024
6,NYJ,BUF,away,2024
6,NOR,TAM,away,2024
6,NYG,CIN,away,2024
6,NWE,HOU,away,2024
7,GNB,HOU,away,2024
7,ARI,LAC,away,2024
7,MIN,DET,away,2024
7,NYG,PHI,away,2024
7,IND,MIA,away,2024
7,PIT,NYJ,away,2024
7,CLE,CIN,away,2024
7,TAM,BAL,away,2024
7,LAR,LVR,away,2024
7,NOR,DEN,away,2024
7,BUF,TEN,away,2024
7,ATL,SEA,away,2024
7,SFO,KAN,away,2024
7,WAS,CAR,away,2024
7,JAX,NWE,away,2024
8,DET,TEN,away,2024
8,NWE,NYJ,away,2024
8,HOU,IND,away,2024
8,CLE,BAL,away,2024
8,MIA,ARI,away,2024
8,LAR,MIN,away,2024
8,SFO,DAL,away,2024
8,PIT,NYG,away,2024
8,LVR,KAN,away,2024
8,CIN,PHI,away,2024
8,WAS,CHI,away,2024
8,SEA,BUF,away,2024
8,LAC,NOR,away,2024
8,JAX,GNB,away,2024
8,TAM,ATL,away,2024
8,DEN,CAR,away,2024
9,ATL,DAL,away,2024
9,CIN,LVR,away,2024
9,TEN,NWE,away,2024
9,SEA,LAR,away,2024
9,MIN,IND,away,2024
9,ARI,CHI,away,2024
9,BAL,DEN,away,2024
9,CLE,LAC,away,2024
9,NYJ,HOU,away,2024
9,GNB,DET,away,2024
9,PHI,JAX,away,2024
9,KAN,TAM,away,2024
9,CAR,NOR,away,2024
9,NYG,WAS,away,2024
9,BUF,MIA,away,2024
10,WAS,PIT,away,2024
10,LAC,TEN,away,2024
10,TAM,SFO,away,2024
10,CHI,NWE,away,2024
10,IND,BUF,away,2024
10,DAL,PHI,away,2024
10,CAR,NYG,away,2024
10,NOR,ATL,away,2024
10,JAX,MIN,away,2024
10,ARI,NYJ,away,2024
10,LAR,MIA,away,2024
10,HOU,DET,away,2024
10,KAN,DEN,away,2024
10,BAL,CIN,away,2024
11,PHI,WAS,away,2024
11,NWE,LAR,away,2024
11,SFO,SEA,away,2024
11,BUF,KAN,away,2024
11,TEN,MIN,away,2024
11,CHI,GNB,away,2024
11,DEN,ATL,away,2024
11,NYJ,IND,away,2024
11,MIA,LVR,away,2024
11,LAC,CIN,away,2024
11,NOR,CLE,away,2024
11,PIT,BAL,away,2024
11,DET,JAX,away,2024
11,DAL,HOU,away,2024
12,NYG,TAM,away,2024
12,HOU,TEN,away,2024
12,IND,DET,away,2024
12,CLE,PIT,away,2024
12,LAC,BAL,away,2024
12,WAS,DAL,away,2024
12,CAR,KAN,away,2024
12,CHI,MIN,away,2024
12,SEA,ARI,away,2024
12,MIA,NWE,away,2024
12,LAR,PHI,away,2024
12,GNB,SFO,away,2024
12,LVR,DEN,away,2024
13,NWE,IND,away,2024
13,DET,CHI,away,2024
13,CAR,TAM,away,2024
13,KAN,LVR,away,2024
13,JAX,HOU,away,2024
13,MIN,ARI,away,2024
13,DEN,CLE,away,2024
13,NYJ,SEA,away,2024
13,NOR,LAR,away,2024
13,CIN,PIT,away,2024
13,WAS,TEN,away,2024
13,ATL,LAC,away,2024
13,GNB,MIA,away,2024
13,DAL,NYG,away,2024
13,BUF,SFO,away,2024
13,BAL,PHI,away,2024
14,ARI,SEA,away,2024
14,DAL,CIN,away,2024
14,PHI,CAR,away,2024
14,DET,GNB,away,2024
14,TAM,LVR,away,2024
14,MIN,ATL,away,2024
14,PIT,CLE,away,2024
14,TEN,JAX,away,2024
14,KAN,LAC,away,2024
14,LAR,BUF,away,2024
14,MIA,NYJ,away,2024
14,NYG,NOR,away,2024
14,SFO,CHI,away,2024
15,LVR,ATL,away,2024
15,SFO,LAR,away,2024
15,NYG,BAL,away,2024
15,NOR,WAS,away,2024
15,TEN,CIN,away,2024
15,DET,BUF,away,2024
15,LAC,TAM,away,2024
15,CAR,DAL,away,2024
15,CLE,KAN,away,2024
15,HOU,MIA,away,2024
15,ARI,NWE,away,2024
15,JAX,NYJ,away,2024
15,DEN,IND,away,2024
15,MIN,CHI,away,2024
15,PHI,PIT,away,2024
15,SEA,GNB,away,2024
16,CHI,DET,away,2024
16,KAN,HOU,away,2024
16,DAL,TAM,away,2024
16,CAR,ARI,away,2024
16,BAL,PIT,away,2024
16,NYJ,LAR,away,2024
16,GNB,NOR,away,2024
16,WAS,PHI,away,2024
16,LVR,JAX,away,2024
16,LAC,DEN,away,2024
16,SEA,MIN,away,2024
16,CIN,CLE,away,2024
16,IND,TEN,away,2024
16,MIA,SFO,away,2024
16,ATL,NYG,away,2024
16,BUF,NWE,away,2024
17,CHI,SEA,away,2024
17,NOR,LVR,away,2024
17,CLE,MIA,away,2024
17,LAR,ARI,away,2024
17,WAS,ATL,away,2024
17,HOU,BAL,away,2024
17,CIN,DEN,away,2024
17,SFO,DET,away,2024
17,JAX,TEN,away,2024
17,TAM,CAR,away,2024
17,NYG,IND,away,2024
17,MIN,GNB,away,2024
17,BUF,NYJ,away,2024
17,PHI,DAL,away,2024
17,NWE,LAC,away,2024
17,PIT,KAN,away,2024
18,IND,JAX,away,2024
18,ARI,SFO,away,2024
18,NYJ,MIA,away,2024
18,LVR,LAC,away,2024
18,GNB,CHI,away,2024
18,TAM,NOR,away,2024
18,PIT,CIN,away,2024
18,DEN,KAN,away,2024
18,TEN,HOU,away,2024
18,DAL,WAS,away,2024
18,PHI,NYG,away,2024
18,ATL,CAR,away,2024
18,BAL,CLE,away,2024
18,DET,MIN,away,2024
18,NWE,BUF,away,2024
18,LAR,SEA,away,2024
