team,current_wins,current_losses,projected_remaining_wins,projected_remaining_losses,total_projected_wins,total_projected_losses,points_scored_avg,points_allowed_avg,offensive_yards_avg,conference,division
ARI,4,3,5.791,4.209,9.791,7.209,24.65832959676525,22.79962934484825,35.436292038133594,NFC,NFC West
ATL,2,4,5.73,5.27,7.73,9.27,9.499666551578564,14.316392050608027,46.1070145431386,NFC,NFC South
BAL,3,3,8.292,2.708,11.292,5.708,29.826383175971138,24.558446459337713,32.04602639886444,AFC,AFC North
BUF,4,2,5.97,5.03,9.969999999999999,7.03,18.453226786617634,15.70087504127224,32.94459233852169,AFC,AFC East
CAR,3,4,2.707,7.293,5.707,11.293,16.56625966353579,21.26089005531819,32.96475307148894,NFC,NFC South
CHI,3,3,5.816,5.184,8.815999999999999,8.184000000000001,22.965659917829257,22.627294018470568,38.881926710659236,NFC,NFC North
CIN,2,5,3.947,6.053,5.947,11.053,16.441377645531254,18.594517969204222,40.84746387026515,AFC,AFC North
CLE,2,5,4.883,5.117,6.883,10.117,11.954525420295072,16.955438402178622,25.952298138322803,AFC,AFC North
DAL,3,4,5.793,4.207,8.793,8.207,26.227122541085066,20.556230783125407,40.20479478350495,NFC,NFC East
DEN,3,4,3.291,6.709,6.291,10.709,24.275212768445524,26.688001040915196,31.89364465254241,AFC,AFC West
DET,2,5,4.99,5.01,6.99,10.01,21.337550151383205,19.68604707962117,45.78070316109864,NFC,NFC North
GNB,4,2,6.467,4.533,10.466999999999999,6.533,26.385768417598026,25.048002937467786,34.836965778527464,NFC,Unknown
HOU,1,5,0.683,10.317,1.683,15.317,18.370799125322637,26.497524487764,30.651952365261785,AFC,AFC South
IND,4,3,7.524,2.476,11.524000000000001,5.476,24.585397440311958,18.72874138646913,41.56727541626159,AFC,AFC South
JAX,6,1,5.971,4.029,11.971,5.029,28.265155981271356,26.17988156081474,31.976693565008496,AFC,AFC South
KAN,5,2,7.084,2.9160000000000004,12.084,4.916,28.096397359218297,24.604674239424348,38.60590296036991,NFC,Unknown
LAC,4,3,5.63,4.37,9.629999999999999,7.37,31.623860152758475,29.027364116912572,42.63358344362506,AFC,AFC West
LAR,4,3,3.598,6.402,7.598,9.402000000000001,21.390729732297082,31.776726514810502,31.856987576161075,NFC,NFC West
LVR,4,3,6.486,3.5140000000000002,10.486,6.514,27.7187748720449,24.612250043692377,26.462743607503242,NFC,Unknown
MIA,5,2,2.996,7.004,7.996,9.004,15.778543943854341,21.275249988999278,29.888815499257294,AFC,AFC East
MIN,2,4,5.495,5.505,7.495,9.504999999999999,25.907937701364986,25.95638768572753,38.89183106272367,NFC,NFC North
NOR,3,4,8.114,1.8859999999999992,11.114,5.885999999999999,25.3100839277861,19.80761219902952,31.154655086489058,NFC,Unknown
NWE,3,4,2.986,7.013999999999999,5.986000000000001,11.014,19.213568642832893,22.452944076610738,33.98416554700813,NFC,Unknown
NYG,4,3,5.81,4.19,9.809999999999999,7.19,24.32099044495596,22.314997859606997,38.28984870142937,NFC,NFC East
NYJ,2,5,4.259,5.741,6.259,10.741,18.588261355507576,19.244270164466332,29.734920634990985,AFC,AFC East
PHI,5,2,3.197,6.803,8.197,8.803,19.98428548416979,23.478239996167858,42.20448686946044,NFC,NFC East
PIT,5,1,6.258,4.742,11.258,5.742,29.944428583163504,28.202459505610193,33.58948319765657,AFC,AFC North
SEA,3,4,5.545,4.455,8.545,8.455,29.851597631621452,26.724444087214742,39.31321606892126,NFC,NFC West
SFO,4,3,5.316,4.684,9.315999999999999,7.684,22.38902928531311,21.80829716619347,36.915507439323115,NFC,Unknown
TAM,2,5,8.574,1.4260000000000002,10.574,6.426,27.441726248513312,20.297152900031183,37.70874162655438,NFC,Unknown
TEN,3,4,2.591,7.409,5.591,11.408999999999999,20.810721415039005,24.6277453444485,29.28881355025184,AFC,AFC South
WAS,4,3,3.295,6.705,7.295,9.705,23.554608383846823,26.193864132417083,35.41883165312998,NFC,NFC East
