name,pass_att,position,rush_att,tar,pass_yd,rush_yd,rec_yd,pass_td,rush_td,rec_td,pass_int,fum,team,games_played,fantasy_points
Aaron Rodgers,329.13187761708355,QB,17.1046865302096,0.0,2456.505948258293,48.9445303363358,0.0,28.170751399664397,0.0,0.0,10.967084856463499,1.6030730102867436,PIT,11,190.69738082912238
Alvin Kamara,0.0,RB,129.23899316879837,46.42772914938842,0.0,423.93810469169523,204.2612398664635,0.0,0.4175756448921142,0.14322844619799513,0.0,0.5965366355601631,NO,11,64.9916857312362
Anthony Richardson,41.810348180976916,QB,23.401452588879557,7.044895888664834,251.09213964256753,75.0714544758581,58.04373441164286,0.7657612266200897,1.3017940852541527,0.0,1.8378269438882155,0.0,IND,11,30.553360004681647
Ashton Jeanty,0.0,RB,159.41342426603208,31.730990947813513,0.0,649.0634758055314,170.86923024866786,0.0,4.173878545935539,2.466965191467687,0.0,1.2334825957338436,LV,11,119.3713678383716
Baker Mayfield,405.1614640263036,QB,25.89346612429328,0.0,2928.705142849191,155.8824889310539,0.0,19.301322105168673,0.0,0.0,4.893535604949858,8.519761611256019,TB,11,183.11514859533597
Bijan Robinson,0.0,RB,179.72466952127365,76.13191280764184,0.0,987.275359665665,651.6745322684027,0.0,5.293606721787212,4.471937716286097,0.0,1.7019278297161908,ATL,11,219.08440016241425
Bo Nix,429.43913054541605,QB,55.91887115925084,0.0,2586.693975575756,327.0470754948119,0.0,17.731418531789032,7.95665583378559,0.0,3.225393687808678,4.270891435159876,DEN,11,239.845505456444
Breece Hall,0.0,RB,156.66335645220116,35.4275129483537,0.0,654.9785324637348,210.52461175161667,0.0,0.13703788414461837,0.0,0.0,1.6640039942616043,NYJ,11,84.04453373787965
Brian Robinson Jr.,0.0,RB,61.82954158044933,10.059010950596344,0.0,239.6057479241712,28.904463285580576,0.0,0.0,0.0,0.0,0.3915368118417668,SF,11,26.06794749729164
Bryce Young,310.89243619751085,QB,26.799274940483247,0.0,1910.9922919124037,91.8429765687149,0.0,18.219883460835035,1.1481682472536878,0.0,5.685036413857857,6.8636253131371125,CAR,11,140.29520920624
Caleb Williams,323.04259299591155,QB,52.8551300862898,0.0,2357.394404979943,81.74426279002746,0.0,10.454491170886817,3.271577572013763,0.0,6.375610075450139,11.69952591888863,CHI,11,127.76736060515277
Cam Skattebo,0.0,RB,178.7653169409501,50.98026002846196,0.0,741.6114627900506,311.54917894782267,0.0,9.019778548518236,3.5961591712356964,0.0,1.7621179939054907,NYG,11,177.48745450449996
Cam Ward,383.32281249724156,QB,16.28549449967455,0.0,2418.290594507226,31.760414722152564,0.0,7.581314880023957,0.0,0.0,9.972508997753707,9.658273013211963,TEN,11,90.97136075066881
Chase Brown,0.0,RB,121.9284981592737,44.24919099267032,0.0,654.4171269213988,100.28502823578762,0.0,0.5365652431668295,0.13703788414461837,0.0,2.47936595144979,CIN,11,74.55310237668775
Christian McCaffrey,0.0,RB,220.68150093222255,99.7483930889667,0.0,868.0546776386573,798.681120720121,0.0,9.70962976233638,3.600007061548918,0.0,1.2334825957338436,SF,11,244.06443558772193
Cooper Rush,193.24779445089362,QB,9.476934582909754,0.0,1131.4454015241465,-3.136105122017408,0.0,1.5263393658247346,0.0,0.0,13.650175841603444,4.564505716862621,BAL,11,14.620199895130924
D'Andre Swift,0.0,RB,172.1075383480228,31.353103425321258,0.0,984.6425426931102,345.2337757525088,0.0,6.046094010685316,2.8008403366354444,0.0,0.6724817648261701,CHI,11,184.72427439883413
Dak Prescott,374.26561231638743,QB,38.82003119504619,0.0,2931.9607345187796,86.00623541307937,0.0,31.1615822969584,1.2334825957338436,0.0,2.3312821059369644,6.717877063010267,DAL,11,239.82795934640137
Daniel Jones,344.000318750472,QB,43.60473535701197,0.0,2769.0405767716234,113.33192777996999,0.0,18.875588585006174,3.9678869524479867,0.0,4.984276611332674,2.9956005896393347,IND,11,205.44473750163056
David Montgomery,1.7391738646068902,RB,120.43912834732926,22.265615200696054,5.21752159382067,435.51657002239375,191.6719516187309,1.7391738646068902,4.040100887481805,0.0,0.0,0.0,DET,11,94.1248538111837
De'Von Achane,0.0,RB,148.746048712997,62.753040609878255,0.0,850.4320692901316,265.1629854217595,0.0,6.114868328365733,2.6342847233155453,0.0,1.3018406801277411,MIA,11,161.45074242102132
Derrick Henry,1.1794969566461966,RB,186.25205474200115,17.47263669442042,0.0,864.0050634682059,85.16847697879066,0.0,5.147108076505842,0.0,0.0,2.58309833505517,BAL,11,120.63380583362438
Drake Maye,287.6601736574265,QB,73.46212330774232,0.3995273590222111,2641.01264913691,385.4089215207392,0.7990547180444222,20.232906180225278,1.8725940501594718,0.0,1.5476956062758989,4.400281726743194,NE,11,224.53253794517454
Drew Lock,140.72509632998543,QB,20.53319436548544,0.0,1191.01004358537,-5.280083380708736,0.0,11.20150337944539,2.3832985913713594,0.0,3.336618027919903,1.6683090139599515,SEA,11,96.20834438759394
Geno Smith,272.6002173759733,QB,32.40702968403481,0.0,1766.4668691965549,72.7376007786615,0.0,8.139672603546527,0.0,0.0,11.839927104807227,3.955264821532329,LV,11,78.90074140723534
Jahmyr Gibbs,0.0,RB,174.59813712986963,34.25617953098023,0.0,986.3932423989564,417.59989120741886,0.0,10.770608559574741,1.8010418784062225,0.0,0.0,DET,11,215.82921598852332
Jake Browning,339.0739400048819,QB,29.259679044641516,0.0,2032.4807245319919,147.30311746293074,0.0,17.330095384187043,1.4234249800709182,0.0,20.78698462150213,4.149927055600346,CIN,11,124.0166487905415
Jalen Hurts,308.59096454766984,QB,66.43535725647473,0.0,2813.2155706647814,158.31829445220578,0.0,21.48905103720058,4.821952059938666,0.0,2.439162985230846,2.758078691615438,PHI,11,232.85388542655357
Jameis Winston,275.00000000000006,QB,22.0,0.0,1606.0,-22.0,0.0,0.0,0.0,0.0,33.0,11.0,NYG,11,-25.960000000000008
James Cook,0.0,RB,190.8574439376859,17.448855250373455,0.0,946.6448216671411,91.03693162529292,0.0,6.177982639486667,0.2831972192907517,0.0,1.1088450889430892,BUF,11,140.31756430402174
Jared Goff,315.39231620414523,QB,18.037589775519987,0.0,2589.4223983637994,45.747398824711276,0.0,21.65199947891545,0.0,0.0,4.960256673906567,6.012330354495642,DET,11,172.81445967588047
Jaxson Dart,287.8310332282731,QB,79.91713161768956,0.0,2081.5127993281585,363.8582570881656,0.0,18.786061329334927,7.640836809840983,0.0,7.405216291475842,3.1154268539390784,NYG,11,219.59431756749865
Jayden Daniels,289.86998226187455,QB,98.03233092954207,0.0,2156.0540920096346,493.4915752197512,0.0,19.298322677545166,4.1414494484306,0.0,3.7175734226475505,10.106601099685772,WAS,11,209.98495955845814
Joe Flacco,476.2859532419099,QB,27.030275727354375,0.0,2851.461973081881,19.873424079821564,0.0,20.124940002979063,0.0,0.0,6.199497633745782,2.4621805371983796,CIN,11,179.22222500128532
Jonathan Taylor,0.0,RB,205.3076696148052,39.17069278602345,0.0,1107.9625203577732,274.8966341196202,0.0,21.14966949467768,0.5707533700317301,0.0,0.13703788414461837,IND,11,268.33437686770657
Jordan Love,323.794222715513,QB,47.72196969924558,0.0,2504.72033699011,229.60517747514427,0.0,15.049505401841985,0.0,0.0,3.761528572101402,9.374812726766924,GB,11,157.07467023675014
Josh Allen,307.22818038247965,QB,77.75766255915057,0.0,2370.2959006547317,472.2242498378255,0.0,21.24500399805077,3.6419462330016796,0.0,11.252862792764127,10.46416687776786,BUF,11,205.43189505912102
Josh Jacobs,0.0,RB,185.20429492628017,34.180477046742965,0.0,768.7791067271693,328.7925351801106,0.0,18.213764347028633,0.0,0.0,1.4516671719655438,GB,11,216.13641592896872
Justin Herbert,461.6554161070024,QB,42.54287690879893,0.0,3237.2242383460643,282.031472856086,0.0,22.430954281806077,0.0,0.0,11.933630871284004,1.1415067400634602,LAC,11,221.26565872398052
Kareem Hunt,0.0,RB,75.80631241069838,8.652033743814027,0.0,311.2760339749816,73.71084904829178,0.0,4.618807502947826,0.0,0.0,0.5707533700317301,KC,11,65.07002657995083
Kenny Pickett,44.567922094824524,QB,13.701793490225473,0.0,270.3710605902193,9.61520624462594,0.0,1.3508967451127352,0.7946451441839619,0.0,0.5562516009287733,10.205354855816038,LV,11,0.4246079801364573
Kirk Cousins,92.8275617043499,QB,4.748268511304971,0.0,450.36876214610425,0.0,0.0,1.5827561704349904,0.0,0.0,1.5827561704349904,1.5827561704349904,ATL,11,18.01475048584417
Kyren Williams,0.0,RB,155.4065516564384,41.93682676754316,0.0,695.1153966768014,285.1944809864061,0.0,3.252113479489506,4.143369945711394,0.0,2.828806790244727,LAR,11,136.74627473703669
Mac Jones,394.40941879542675,QB,48.94849519879429,0.0,2842.485117769013,104.12141900960357,0.0,8.026238635225226,0.0,0.0,10.771495479269989,4.102009605260774,SF,11,126.46949098356026
Mason Rudolph,61.88500550201486,QB,29.619430224367484,0.0,428.83015177599793,27.615186956504804,0.0,2.920504753222348,0.0,0.0,3.101956231972849,0.864054660716671,PIT,11,23.664721994200747
Matthew Stafford,373.533674769747,QB,28.176750307306726,0.0,2656.518825198102,12.367026039798148,0.0,31.210727947854135,0.0,0.0,1.5818837331407998,7.388581849777274,LAR,11,214.3994362374843
Patrick Mahomes,387.65693141356223,QB,64.00026133692118,0.0,2980.445145019935,350.6273735781711,0.0,26.736934738989273,5.207201692467292,0.0,2.2347573642933347,4.007872477607235,KC,11,279.9862325855742
Rhamondre Stevenson,0.0,RB,131.18733986572175,20.772722625710554,0.0,482.1602650774664,115.86843498084546,0.0,6.919702913345326,0.0,0.0,3.49049631455886,NE,11,94.34009485678543
Rico Dowdle,0.0,RB,202.9805734800953,29.950086400351076,0.0,1171.7537715185388,255.54230737456652,0.0,2.47936595144979,2.3771485632308633,0.0,2.6568177145464116,CAR,11,166.55505954830164
Russell Wilson,162.29418274010152,QB,21.849300756923668,0.0,1076.0813333947433,139.20271775255506,0.0,4.149645542281692,0.5178997773154094,0.0,4.957191716921928,5.088012639847384,NYG,11,56.579097230525846
Sam Darnold,323.3774305711568,QB,23.47808080720576,0.0,2865.199117169813,43.01331878645194,0.0,20.306623628686246,0.0,0.0,6.618144288686465,5.156025079827452,SEA,11,176.58745234315484
Saquon Barkley,0.0,RB,173.1430662819621,28.42373117326779,0.0,583.9840833161775,169.36771608527494,0.0,2.526620336878831,1.6640039942616043,0.0,0.0,PHI,11,100.47892592698787
Spencer Rattler,341.91123718095895,QB,40.602984346337486,2.828806790244727,2342.843918306682,226.39026686436895,0.0,12.564988930790737,0.0,0.0,11.758248222443866,5.606920242152519,NO,11,131.88240221267432
Tank Bigsby,0.0,RB,30.7609690410749,10.002978353124377,0.0,167.005569851782,-7.986003561494986,0.0,0.48854060696905655,0.0,0.0,0.8305190318473962,PHI,11,17.17216220714825
Tony Pollard,0.0,RB,122.41070946762636,39.63887614207127,0.0,466.02464244961567,239.27304183277258,0.0,2.6846598857599897,0.0,0.0,2.257977104753558,TEN,11,82.12177353329164
Travis Etienne,0.0,RB,133.09675550565518,37.43254298452571,0.0,609.8098474887024,148.47228825648503,0.0,1.980164753171309,0.5707533700317301,0.0,0.0,JAC,11,91.13372231373697
Trevor Lawrence,433.67183511021733,QB,45.62783741045155,0.0,2748.7699049862053,206.44099830686287,0.0,13.862686546670462,3.5242359878109815,0.0,4.257453285075056,2.3665244658150746,JAC,11,193.943102641902
Tua Tagovailoa,318.61302932563814,QB,20.670669365436424,0.0,1921.2355252880056,57.40707720739014,0.0,13.547775428444625,0.0,0.0,20.435059465718133,13.236816993013198,MIA,11,69.43747752857507
Tyrod Taylor,248.30097181240183,QB,41.25186325375574,0.0,1398.8482414543662,195.92592606507657,0.0,5.999744251066554,0.0,0.0,16.53183379834868,2.3796977345488424,NYJ,11,61.72243620315349
Zach Charbonnet,0.0,RB,126.44596534632015,17.934699304478894,0.0,406.54912841178617,93.71607116942187,0.0,10.97039240017091,0.0,0.0,0.0,SEA,11,115.84887435914627
