name,pass_att,position,rush_att,tar,pass_yd,rush_yd,rec_yd,pass_td,rush_td,rec_td,pass_int,fum,team,games_played,fantasy_points
Josh Allen,517.0431814576799,QB,127.69106926250255,0.0,4104.073109707186,707.7903273231269,3.13963900040791,33.16733329661697,14.995258183253112,0.4485198572011287,5.9291925452626355,3.3779429465598025,BUF,18,441.9736514661893
Jayden Daniels,649.9642822405259,QB,183.38768229709567,0.0,4037.570718909474,1132.7414049156118,0.0,42.41149859365754,1.3111026319161347,0.0,9.666572928998077,2.3451895816987283,TXSO,18,428.26605439267354
Patrick Mahomes,661.063460121115,QB,80.54181250982023,0.0,4412.1141363445495,434.36426805832656,0.0,36.36593860502185,6.07775470873144,0.0,2.8275651633469034,7.412710640383706,KC,18,381.3707233246295
Baker Mayfield,623.8754310225652,QB,52.47487488305293,0.0,4668.848333000125,476.75237755538,0.0,41.69047968301736,0.3101342563583915,0.0,8.669909649979347,13.915135038454185,TB,18,357.8818059688957
Jalen Hurts,425.7210629185469,QB,171.8734640161101,0.0,2661.5288478718526,820.5353075310946,0.0,24.864186907353236,13.96095926661814,0.0,0.0748357240080645,13.553678694088212,PHI,18,344.4801590609128
Jared Goff,580.4029631699835,QB,30.74259783523273,0.0,4603.016417546034,45.38049178582536,0.0,44.38300188772236,0.0,0.0,7.386164981169268,4.534250182639905,DET,18,342.349883103695
Drake Maye,512.4493824511059,QB,101.51456424782378,2.239492391225388,4079.3436208905528,469.6644095119385,4.478984782450777,30.025344047905783,8.097504528647391,0.0,8.958055577687235,11.696662446554559,NE,18,337.9650515800849
Dak Prescott,725.8178608783697,QB,22.984267752795365,0.0,4949.0079459141425,114.16928438496117,0.0,29.17771074574062,5.527043031977892,0.0,12.26722333688463,3.616121082983161,DAL,18,327.48365861015606
Bo Nix,623.223151966153,QB,107.35148534985112,0.0336414918666309,4094.8928925244777,358.3177685554909,0.0672829837332619,35.58919268936984,4.434841791328811,0.0336414918666309,17.328318694505654,5.560962718716064,DEN,18,323.0233284851101
Brock Purdy,634.0339753699973,QB,54.52418232806556,0.0,5284.888256404015,251.9406455970691,0.0,34.63923837668493,2.8158243006977273,0.0,29.398220146151957,7.681583986187035,SF,18,317.8818858621156
